# time(fs)   RMSD(Ang)   MSD(Ang^2)
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+02 1.383709269789324958e+00 1.914651343300907138e+00
2.000000000000000000e+02 1.819100835242576819e+00 3.309127848780240466e+00
3.000000000000000000e+02 1.967548531104670539e+00 3.871247222252146791e+00
4.000000000000000000e+02 2.026594666826412983e+00 4.107085943609260603e+00
5.000000000000000000e+02 2.077228323975454760e+00 4.314877509925876709e+00
6.000000000000000000e+02 2.111684115102418158e+00 4.459209801975883458e+00
7.000000000000000000e+02 2.145792887359348367e+00 4.604427115441968255e+00
8.000000000000000000e+02 2.123938155642589809e+00 4.511113288994446080e+00
9.000000000000000000e+02 2.139060594761894141e+00 4.575580228063108379e+00
1.000000000000000000e+03 2.166436085699559477e+00 4.693445313421228171e+00
1.100000000000000000e+03 2.204600171793822838e+00 4.860261917473352788e+00
1.200000000000000000e+03 2.268750440729006002e+00 5.147228562308058031e+00
1.300000000000000000e+03 2.341468064988065922e+00 5.482472699358957868e+00
1.400000000000000000e+03 2.357629308673471868e+00 5.558415957116153550e+00
1.500000000000000000e+03 2.353670092202384989e+00 5.539762902927982680e+00
1.600000000000000000e+03 2.373020773913588677e+00 5.631227593425448319e+00
1.700000000000000000e+03 2.386154421471466502e+00 5.693732923107829969e+00
1.800000000000000000e+03 2.412915715416507734e+00 5.822162249703957571e+00
1.900000000000000000e+03 2.476837498637204149e+00 6.134723994655402635e+00
2.000000000000000000e+03 2.488778568219587317e+00 6.194018761629140002e+00
2.100000000000000000e+03 2.498134054898036194e+00 6.240673756241303494e+00
2.200000000000000000e+03 2.558126601825251534e+00 6.544011710966008089e+00
2.300000000000000000e+03 2.583530502847331878e+00 6.674629859142587662e+00
2.400000000000000000e+03 2.620544267770088975e+00 6.867252259342672360e+00
2.500000000000000000e+03 2.668886050138011168e+00 7.122952748621274921e+00
2.600000000000000000e+03 2.734245225525069767e+00 7.476096953306639037e+00
2.700000000000000000e+03 2.745903033266899218e+00 7.539983468104358266e+00
2.800000000000000000e+03 2.719531631391873816e+00 7.395852294140947691e+00
2.900000000000000000e+03 2.715978482482228173e+00 7.376539117306466053e+00
3.000000000000000000e+03 2.723790534216867787e+00 7.419034874289409665e+00
3.100000000000000000e+03 2.684329722835940846e+00 7.205626060900478969e+00
3.200000000000000000e+03 2.668625468509236764e+00 7.121561891176143355e+00
3.300000000000000000e+03 2.700863633883395565e+00 7.294664368833820411e+00
3.400000000000000000e+03 2.702860578084945065e+00 7.305455304565683150e+00
3.500000000000000000e+03 2.656664218525238041e+00 7.057864769992312937e+00
3.600000000000000000e+03 2.634848792442899601e+00 6.942428159037806523e+00
3.700000000000000000e+03 2.612518018021539046e+00 6.825250394487190064e+00
3.800000000000000000e+03 2.637137773307926203e+00 6.954495635407487164e+00
3.900000000000000000e+03 2.645152447654783412e+00 6.996831471334091113e+00
4.000000000000000000e+03 2.684989422322031416e+00 7.209168197981195902e+00
4.100000000000000000e+03 2.804246948888381219e+00 7.863800950349795649e+00
4.200000000000000000e+03 2.883582937640443156e+00 8.315050558251087409e+00
