# time(fs)   RMSD(Ang)   MSD(Ang^2)
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+02 2.839709196130368429e+00 8.063948318587382147e+00
2.000000000000000000e+02 3.121398778024965015e+00 9.743130331455743587e+00
3.000000000000000000e+02 3.183037411625757152e+00 1.013172716380920058e+01
4.000000000000000000e+02 3.202359796310142226e+00 1.025510826502353545e+01
5.000000000000000000e+02 3.233877472248216645e+00 1.045796350551451503e+01
6.000000000000000000e+02 3.305149759801747855e+00 1.092401493471755280e+01
7.000000000000000000e+02 3.325521535707567367e+00 1.105909348445481832e+01
8.000000000000000000e+02 3.306068835683187324e+00 1.093009114627558453e+01
9.000000000000000000e+02 3.427434719583702272e+00 1.174730875700781318e+01
1.000000000000000000e+03 3.472423808089916797e+00 1.205772710298968065e+01
1.100000000000000000e+03 3.548977934164486481e+00 1.259524437718642531e+01
1.200000000000000000e+03 3.656258307006847730e+00 1.336822480755657949e+01
1.300000000000000000e+03 3.708233424320826810e+00 1.375099512925016398e+01
1.400000000000000000e+03 3.700605753609953918e+00 1.369448294365109398e+01
1.500000000000000000e+03 3.657779420946912108e+00 1.337935029230272832e+01
1.600000000000000000e+03 3.653375849222411542e+00 1.334715509568157721e+01
1.700000000000000000e+03 3.681644169748421458e+00 1.355450379264254224e+01
1.800000000000000000e+03 3.705319646679900103e+00 1.372939368407205940e+01
1.900000000000000000e+03 3.679129688561077138e+00 1.353599526525152719e+01
2.000000000000000000e+03 3.672710677922990996e+00 1.348880372372955705e+01
2.100000000000000000e+03 3.746293976327568664e+00 1.403471855706822424e+01
2.200000000000000000e+03 3.784430517005284766e+00 1.432191433804088554e+01
2.300000000000000000e+03 3.736717112472596636e+00 1.396305477864554057e+01
2.400000000000000000e+03 3.741153836970501079e+00 1.399623203187910292e+01
2.500000000000000000e+03 3.811006986457655454e+00 1.452377425082906015e+01
2.600000000000000000e+03 3.825289716002384210e+00 1.463284141135360095e+01
2.700000000000000000e+03 3.823127631349402478e+00 1.461630488558729191e+01
2.800000000000000000e+03 3.855042840837188844e+00 1.486135530469006305e+01
2.900000000000000000e+03 3.842463395272720295e+00 1.476452494401076088e+01
3.000000000000000000e+03 3.826122289799972709e+00 1.463921177650418493e+01
3.100000000000000000e+03 3.783090108894841652e+00 1.431177077201798475e+01
3.200000000000000000e+03 3.777783999695067063e+00 1.427165194835205853e+01
3.300000000000000000e+03 3.790221092022206584e+00 1.436577592641000933e+01
3.400000000000000000e+03 3.731279791007500624e+00 1.392244887878097792e+01
3.500000000000000000e+03 3.741725360980998172e+00 1.400050867700837998e+01
3.600000000000000000e+03 3.734980040881190622e+00 1.395007590578086010e+01
3.700000000000000000e+03 3.793229617052030989e+00 1.438859092768069914e+01
3.800000000000000000e+03 3.844157296226972331e+00 1.477754531813506667e+01
3.900000000000000000e+03 3.828439719673395469e+00 1.465695068717290717e+01
4.000000000000000000e+03 3.827627884333683284e+00 1.465073522092875002e+01
4.100000000000000000e+03 3.833790066666060703e+00 1.469794627526735731e+01
4.200000000000000000e+03 3.811521917937485071e+00 1.452769933091784438e+01
4.300000000000000000e+03 3.816444230695450468e+00 1.456524656600858769e+01
4.400000000000000000e+03 3.846626068598796966e+00 1.479653211162383819e+01
4.500000000000000000e+03 3.890529638577960636e+00 1.513622086865355776e+01
4.600000000000000000e+03 3.883076363463490388e+00 1.507828204448884613e+01
4.700000000000000000e+03 3.913451522997946963e+00 1.531510282285494995e+01
4.800000000000000000e+03 3.917191542720618536e+00 1.534438958236193962e+01
4.900000000000000000e+03 3.897460525195043601e+00 1.519019854545362591e+01
5.000000000000000000e+03 3.910230804506578561e+00 1.528990494451216442e+01
5.100000000000000000e+03 3.921697073908566811e+00 1.537970793950301562e+01
5.200000000000000000e+03 3.843713537236396416e+00 1.477413375633432935e+01
5.300000000000000000e+03 3.896847661748505054e+00 1.518542169887479254e+01
5.400000000000000000e+03 3.922673632583025150e+00 1.538736842776210523e+01
5.500000000000000000e+03 3.909028195356462287e+00 1.528050143209179978e+01
5.600000000000000000e+03 3.864361794655930993e+00 1.493329207999640929e+01
5.700000000000000000e+03 3.885272914435882186e+00 1.509534561964909294e+01
